Id,SerialNumber,DeviceType,ProvisioningPublicKeyId,ExternalUrl
8a982619-f8f2-4dcb-aa66-3adba2b5c02c,TTR000000173,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000173
b9b4f9a3-cc16-403b-9f07-6895bddfa407,TTR000000174,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000174
d17e31cf-5f75-46de-9f66-c36c2257b7a1,TTR000000175,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000175
b106fe93-0117-4231-93c8-2063b9072917,TTR000000176,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000176
73adc63b-75a5-4401-ae2d-a5a643f149e0,TTR000000177,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000177
838b1e2a-d9dc-4597-8949-9466bb885ae5,TTR000000178,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000178
8c7d3da6-aa72-44bf-aa0a-38702e5c8e27,TTR000000179,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000179
fc9461a6-3df3-4e1c-9426-3862061cb3a7,TTR000000180,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000180
a20c50e2-ff89-450f-9083-0735ee00ab4a,TTR000000181,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000181
df16f94b-439b-4bda-9f1e-1f4dadc6bbe1,TTR000000182,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000182
76e2cdde-06e1-4a94-851c-0a5a6ba54674,TTR000000183,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000183
a9b177f4-5ebc-4ff3-8756-887b262e160c,TTR000000184,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000184
851ffa94-8255-45ed-b746-36a405a9beb9,TTR000000185,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000185
99943b11-424d-4386-adbe-24c8ed2903a7,TTR000000186,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000186
10215163-76a5-4640-8d53-9835f50b7e1f,TTR000000187,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000187
4297f88c-5dd4-430c-a3f2-176dc575b191,TTR000000188,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000188
b6fba9ad-2269-40ad-9e35-ad622c6681a4,TTR000000189,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000189
67d26852-2bf5-4a5f-8810-e5e49a71f6ee,TTR000000190,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000190
38f25cee-4472-48d5-a9d7-0e2b3580eaf1,TTR000000191,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000191
0a2785bc-fcc9-4c5e-96a2-bfb0378e4267,TTR000000192,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000192
c739c221-9ffe-4ff6-b63c-63fc5d04ae68,TTR000000193,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000193
32542b9d-847a-4b86-9ba5-f81d6f816cb7,TTR000000194,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000194
f04df898-db48-4311-ad9c-1114c211cde1,TTR000000195,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000195
fa055a4a-e101-43c8-a4fc-889cfd6ac2d3,TTR000000196,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000196
ba254d4e-3e69-4396-ae7c-fb77e5f4981b,TTR000000197,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000197
e0811e6e-e07e-4f21-a6cb-1b93fb810685,TTR000000198,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000198
3c161ddc-7cc3-4898-afe8-6c05550678ad,TTR000000199,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000199
3d9b57da-704b-4bed-b52c-30a6b513e7a2,TTR000000200,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000200
00d18440-4b8d-4347-82b5-3e5c612df5b8,TTR000000201,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000201
13289b06-3623-4abb-9f7e-e731594fd715,TTR000000202,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000202
1f87db33-e5d4-49d8-9231-454a4098f188,TTR000000203,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000203
89e280f8-e17c-4957-be8f-64354f38d5a1,TTR000000204,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000204
326c8910-b038-48f7-908b-6aeaa7b8b3c0,TTR000000205,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000205
bd3ce106-2e55-40da-8e3f-0d1f4b7f6219,TTR000000206,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000206
e370beaa-17e3-4bcd-91be-4d2e02f7045e,TTR000000207,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000207
b4afcf73-d01d-4909-8b39-999b7b79a8a8,TTR000000208,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000208
606da524-849f-4e63-8ecb-73e134b6a81f,TTR000000209,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000209
b201ba2b-ab5c-4bfa-86fe-f8b741650a78,TTR000000210,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000210
9992a299-9666-4a8f-bac0-378bc42cfb2e,TTR000000211,thintracker,0ce6be32-1984-4991-add4-f6888b44109b,http://aware-stg.qualcomm.com/public/TTR000000211
