2023/10/20 13:21:06   status: Write, percent: 20
2023/10/20 13:21:07   status: Write, percent: 30
2023/10/20 13:21:09   status: Write, percent: 40
2023/10/20 13:21:10   status: Write, percent: 50
2023/10/20 13:21:12   status: Write, percent: 60
2023/10/20 13:21:13   status: Write, percent: 70
2023/10/20 13:21:14   status: Write, percent: 80
2023/10/20 13:21:16   status: Write, percent: 90
2023/10/20 13:21:17   status: Write, percent: 100
2023/10/20 13:22:13   status: BootOK, percent: 0
2023/10/20 13:22:14   status: Erase, percent: 0
2023/10/20 13:22:15   status: Erase, percent: 100
2023/10/20 13:22:15   status: Write, percent: 0
2023/10/20 13:22:16   status: Write, percent: 10
2023/10/20 13:22:18   status: Write, percent: 20
2023/10/20 13:22:19   status: Write, percent: 30
2023/10/20 13:22:21   status: Write, percent: 40
2023/10/20 13:22:22   status: Write, percent: 50
2023/10/20 13:22:23   status: Write, percent: 60
2023/10/20 13:22:25   status: Write, percent: 70
2023/10/20 13:22:26   status: Write, percent: 80
2023/10/20 13:22:27   status: Write, percent: 90
2023/10/20 13:22:29   status: Write, percent: 100
